X,Y
 6.200015e-03,  8.653750e-04
 5.762515e-03, -5.072125e-03
 6.325015e-03,  1.177875e-03
 6.012515e-03,  8.653750e-04
 6.450015e-03, -4.447125e-03
 6.012515e-03,  1.177875e-03
 6.512515e-03, -5.072125e-03
 6.075015e-03, -3.822125e-03
 6.512515e-03,  1.490375e-03
 6.075015e-03,  1.177875e-03
 6.575015e-03, -5.384625e-03
 6.637515e-03,  2.740375e-03
 6.075015e-03, -4.447125e-03
 6.575015e-03, -4.134625e-03
 6.075015e-03,  1.177875e-03
 6.512515e-03, -3.822125e-03
 5.887515e-03,  1.802875e-03
 6.512515e-03, -4.447125e-03
 5.825015e-03,  2.115375e-03
 6.325015e-03, -3.822125e-03
 5.825015e-03,  2.427875e-03
 6.262515e-03,  2.115375e-03
 5.762515e-03, -3.822125e-03
 6.012515e-03, -2.884625e-03
 5.512515e-03,  3.052875e-03
 5.887515e-03, -3.197125e-03
 5.200015e-03,  3.052875e-03
 5.762515e-03,  3.365375e-03
 5.012515e-03, -3.197125e-03
 5.512515e-03,  3.677875e-03
 4.887515e-03, -2.572125e-03
 4.700015e-03,  4.927875e-03
 5.262515e-03, -2.572125e-03
 5.012515e-03, -2.884625e-03
 4.575015e-03,  3.990375e-03
 4.762515e-03, -1.634625e-03
 4.325015e-03,  3.990375e-03
 4.637515e-03, -2.884625e-03
 4.012515e-03,  4.927875e-03
 4.450015e-03,  4.615375e-03
 3.700015e-03, -2.259625e-03
 4.075015e-03, -1.634625e-03
 3.575015e-03,  4.615375e-03
 3.887515e-03,  5.240375e-03
 3.012515e-03, -1.009625e-03
 3.512515e-03,  4.927875e-03
 2.887515e-03, -1.322125e-03
 3.325015e-03, -1.634625e-03
 2.575015e-03,  5.865375e-03
 3.075015e-03, -3.846250e-04
 2.387515e-03,  6.802875e-03
 2.762515e-03,  5.240375e-03
 2.262515e-03, -7.212500e-05
 2.512515e-03,  7.115375e-03
 1.887515e-03, -7.212500e-05
 2.200015e-03, -7.212500e-05
 1.637515e-03,  5.865375e-03
 1.887515e-03,  6.177875e-03
 1.262515e-03,  5.528750e-04
 1.512515e-03,  6.490375e-03
 8.250150e-04, -7.212500e-05
 1.262515e-03,  6.802875e-03
 4.500150e-04, -3.846250e-04
 8.875150e-04,  8.653750e-04
 3.250150e-04,  6.177875e-03
 7.501500e-05,  2.403750e-04
 5.750150e-04,  6.177875e-03
 3.875150e-04,  6.802875e-03
-2.374850e-04, -3.846250e-04
-4.998500e-05, -3.846250e-04
-6.124850e-04,  7.115375e-03
-3.624850e-04,  5.528750e-04
-7.999850e-04,  6.802875e-03
-6.749850e-04,  8.653750e-04
-1.299985e-03,  7.115375e-03
-1.424985e-03,  8.365375e-03
-9.249850e-04,  2.403750e-04
-1.174985e-03,  7.115375e-03
-1.737485e-03,  5.528750e-04
-1.487485e-03,  6.802875e-03
-2.112485e-03,  5.528750e-04
-1.612485e-03,  8.653750e-04
-2.424985e-03,  7.115375e-03
-1.924985e-03,  1.177875e-03
-2.612485e-03,  7.115375e-03
-2.299985e-03,  8.653750e-04
-2.924985e-03,  7.740375e-03
-3.049985e-03, -7.212500e-05
-2.549985e-03,  6.177875e-03
-3.299985e-03,  2.403750e-04
-2.737485e-03,  5.865375e-03
-2.987485e-03, -3.846250e-04
-3.674985e-03,  7.740375e-03
-3.174985e-03,  6.802875e-03
-3.862485e-03, -3.846250e-04
-3.237485e-03,  6.802875e-03
-4.049985e-03,  2.403750e-04
-3.549985e-03,  6.177875e-03
-4.049985e-03,  2.403750e-04
-3.674985e-03,  6.177875e-03
-4.174985e-03, -7.212500e-05
-3.924985e-03, -7.212500e-05
-4.299985e-03,  8.052875e-03
-3.924985e-03, -3.846250e-04
-4.424985e-03,  6.490375e-03
-4.424985e-03,  6.490375e-03
-3.987485e-03, -1.634625e-03
-4.112485e-03,  6.177875e-03
-4.487485e-03, -6.971250e-04
-4.612485e-03, -6.971250e-04
-4.112485e-03,  5.865375e-03
-4.549985e-03,  5.552875e-03
-4.049985e-03, -1.009625e-03
-4.049985e-03,  5.865375e-03
-4.612485e-03, -1.634625e-03
-4.049985e-03,  5.865375e-03
-4.487485e-03, -2.572125e-03
-3.987485e-03,  5.240375e-03
-4.487485e-03, -1.634625e-03
-3.862485e-03, -1.322125e-03
-4.237485e-03,  3.990375e-03
-4.112485e-03,  4.615375e-03
-3.737485e-03, -2.884625e-03
-3.987485e-03,  3.052875e-03
-3.549985e-03, -2.572125e-03
-3.424985e-03, -2.572125e-03
-3.862485e-03,  4.927875e-03
-3.237485e-03, -2.884625e-03
-3.737485e-03,  3.990375e-03
-3.487485e-03, -2.572125e-03
-2.924985e-03,  2.740375e-03
-3.487485e-03,  3.365375e-03
-2.737485e-03, -3.197125e-03
-3.424985e-03,  3.365375e-03
-2.487485e-03, -3.197125e-03
-2.924985e-03, -3.822125e-03
-2.299985e-03,  3.052875e-03
-2.612485e-03,  2.740375e-03
-2.112485e-03, -3.509625e-03
-1.862485e-03, -3.509625e-03
-2.487485e-03,  3.052875e-03
-2.049985e-03,  2.740375e-03
-1.487485e-03, -4.447125e-03
-1.862485e-03,  2.740375e-03
-1.174985e-03, -4.759625e-03
-1.737485e-03,  3.365375e-03
-9.249850e-04, -4.134625e-03
-1.237485e-03, -4.759625e-03
-7.999850e-04,  2.115375e-03
-1.049985e-03,  1.802875e-03
-4.249850e-04, -5.072125e-03
-6.124850e-04,  2.115375e-03
-1.124850e-04, -5.072125e-03
-4.249850e-04, -5.072125e-03
 2.000150e-04,  2.427875e-03
-1.749850e-04, -5.072125e-03
 3.875150e-04,  1.802875e-03
 1.375150e-04,  1.177875e-03
 7.000150e-04, -5.072125e-03
 5.125150e-04, -6.322125e-03
 9.500150e-04,  8.653750e-04
 8.250150e-04, -5.072125e-03
 1.325015e-03,  1.802875e-03
 9.500150e-04, -6.009625e-03
 1.700015e-03,  2.403750e-04
 1.387515e-03,  5.528750e-04
 2.012515e-03, -6.009625e-03
 1.700015e-03, -5.384625e-03
 2.450015e-03,  2.403750e-04
 1.825015e-03, -6.009625e-03
 2.512515e-03,  8.653750e-04
